id	text	titles
60	Slaapproblemen bij kinderen 18 maanden - 6 jaar	- Licht slapen (van elk geluid wakker worden);  - Problemen met naar bed gaan;  - ’s Nachts lang wakker liggen;  - Interventie van een ouder nodig;  - Klachten overdag (o.a. moeheid, gedragsproblemen);  - Combinatie van bovenstaand. Veel slaapproblemen hebben een dagoorzaak. Te denken valt aan spannende situaties, de komst van een broertje/zusje, verdriet of spanningen of een onduidelijke dagindeling. Daarom hebben een aantal adviezen betrekking op de dag. Kinderen slapen ’s nachts rustiger als er overdag meer duidelijkheid en structuur is.
61	Hersteloperatie na sterilisatie	Deze folder betreft een algemene voorlichting en is bedoeld als extra informatie naast het gesprek met uw behandelend arts. Bijzondere omstandigheden kunnen tot wijzigingen aanleiding geven. Dit zal altijd door uw uroloog aan u kenbaar gemaakt worden. Heeft u na het lezen van deze folder nog vragen, dan kunt u op werkdagen contact opnemen met de polikliniek urologie.
62	Wie zorgt er voor mij, verloskunde	Mocht u na het lezen van deze folder nog vragen hebben dan kunt u ze stellen aan de verpleegkundige die voor u zorgt. Indien u niet bent opgenomen kunt u tijdens kantooruren contact opnemen met de polikliniek verloskunde: 088 708 44 16. Of neem contact op met ZGT via zgt.nl.
63	Gipsverbanden	U heeft een gipsverband om uw arm of been gekregen. Een verband van gips zorgt ervoor dat de botbreuk in de goede stand blijft staan en dat het beschadigde gewricht en/of de beschadigde pezen rust krijgen. Gips is pas na 24 uur volledig hard. De eerste dag moet u er dus voorzichtig mee zijn. Laat het gips niet op een harde rand rusten, maar op een zachte onderlaag.
64	Obductie, informatie voor nabestaanden	De procedure begint met de vraag van de medisch specialist of u een obductie wilt laten verrichten, het uitreiken van deze folder en bij u informeren of u nog vragen heeft. U als nabestaande besluit of u toestemming verleent voor obductie. U kunt hierbij beslissen voor een volledige obductie inclusief hersenonderzoek, maar ook voor enkel onderzoek van (een deel van) het lichaam. Neem rustig de tijd voor uw beslissing en bespreek de mogelijkheden met uw medisch specialist. Als u toestemming geeft, wordt de overledene naar het mortuarium overgebracht en wordt de obductie verricht door een patholoog. Na de obductie maakt de patholoog een verslag dat hij opstuurt naar de medisch specialist die de obductie heeft aangevraagd, deze is in principe na maximaal 12 weken bekend. Als u daar prijs op stelt, maakt deze medisch specialist een afspraak met u om de bevindingen van de patholoog met u te bespreken en eventuele extra vragen van u te beantwoorden. Als het nodig mocht zijn, kan de medisch specialist weer contact opnemen met de patholoog voor nader overleg.
65	Ciclosporine	Heeft u na het lezen van deze informatie nog vragen, neem dan contact op met uw reumatoloog, reumaverpleegkundige of bezoek onze website. Telefoonnummer polikliniek reumatologie:  - 088 708 34 03 Website afdeling reumatologie:  - zgt.nl/reumatologie
66	WALANT verdoving	Op de dag van de ingreep kunt u uw vragen stellen aan de behandelend medisch specialist of aan een verpleegkundige. Heeft u thuis vragen of problemen, neem dan contact op met het ziekenhuis:  - Tijdens kantooruren kunt u contact opnemen met het secretariaat van heelkunde, telefoonnummer 088 708 52 33.  - Buiten kantooruren kunt u contact opnemen met de afdeling spoedeisende hulp, telefoonnummer 088 708 78 78.
67	Voedingsadviezen bij een stent in de slokdarm, maag of dunne darm	MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.
68	Hoge bloeddruk in de zwangerschap	Bij een hoge bloeddruk kunnen complicaties bij moeder en baby optreden. Uw nieren en lever kunnen tijdelijk slechter gaan werken en er kunnen afwijkingen in de bloedstolling ontstaan. De bloedtoevoer naar de placenta (moederkoek) kan afnemen. Dit kan tot gevolg hebben dat de baby in groei achterblijft of dat de conditie van de baby achteruitgaat. De kans op deze complicaties is over het algemeen niet verhoogd bij een lichte verhoging van de bloeddruk (zoals een onderdruk tot 90), maar neemt toe naarmate de bloeddruk hoger wordt (zoals bij een onderdruk van 120). Ook is het moment waarop de hypertensie in de zwangerschap optreedt belangrijk. Tegen het einde van de zwangerschap is de kans op complicaties van een hogere bloeddruk meestal veel kleiner dan vroeg in de zwangerschap.
69	Gekwetste knie	Deze folder werd samengesteld door de maatschap chirurgie naar het voorbeeld van de folders van de Commissie Voorlichting van de Nederlandse Vereniging voor Heelkunde.
70	Mohs' micrografische chirurgie (Isala_ZGT)	- Draag op de dag van de ingreep kleding die gemakkelijk zit en niet over het hoofd aan en uit hoeft.  - Draag geen sieraden of make-up  - Neem voor uzelf iets te lezen of te luisteren mee.  - Zorg voor vervoer, u mag niet zelf naar huis rijden.  - U hoeft niet nuchter te komen.  - Als u bloedverdunners gebruikt, kunt u dit deze blijven gebruiken. Tenzij dit door uw arts anders is aangegeven.  - Als u antistolling via de trombosedienst gebruikt (meestal acenocoumarol) is het belangrijk dat u goed bent ingesteld. De waarde van de INR mag bij de ingreep niet hoger zijn dan 2,5. Indien de INR hoger is dan 2,5 vragen wij u om hierover contact op te nemen met de trombosedienst.  - Roken heeft een nadelig effect op de wondgenezing. Wij adviseren u te stoppen met roken, ten minste in de week voor en na de ingreep.  - Breng op de dag van de ingreep uw medicatielijst mee.  - Als u pre-operatief antibiotica voorgeschreven krijgt, dient u deze één uur voor de behandeling in te nemen. Indien het preoperatieve antibioticum Floxapen is, moet u alle vier tabletten tegelijk innemen.
71	NSAID's	NSAID’s hebben voor zover bekend geen invloed op de vruchtbaarheid. Bij gebruik in de eerste drie maanden van de zwangerschap is er misschien een minimaal verhoogd risico op een miskraam. Bij gebruik tijdens de laatste drie maanden is het risico op afwijkingen bij het kind en op voortijdige weeën verhoogd. Bij borstvoeding kunnen sommige NSAID’s niet gebruikt worden. Neem tijdig contact op (minimaal drie maanden voordat u zwanger wilt worden) met uw reumatoloog of reumaverpleegkundige om te overleggen. Bent u zwanger geraakt onder het gebruik een NSAID? Neem dan altijd contact op met uw reumatoloog of reumaverpleegkundige.
72	Antibiotica thuis via elastomeerpomp bij kinderen	Hieronder volgen een aantal belangrijke aandachtspunten waar u thuis rekening mee dient te houden:  - Het is belangrijk dat u af en toe de insteekopening van het infuus controleert op roodheid, zwelling en pijn. Indien u een van de zojuist benoemde verschijnselen observeert, neemt u dan contact op met de Kinderthuiszorg.  - Indien uw kind koorts krijgt, suf is, niet goed drinkt of andere tekenen van ziek zijn vertoont, neemt u contact op met de Kinderthuiszorg.  - Tijdens het aan- en uitkleden, is het belangrijk dat u zo voorzichtig mogelijk met het infuus omgaat. Het infuus kan namelijk gemakkelijk verschuiven of sneuvelen.  - Indien het infuus sneuvelt, is het mogelijk dat de insteekopening waarin het infuus zat wat nalekt met bloed. Duw hier dan voorzichtig een gaasje op en houd dit een aantal minuten vast. Het bloeden zal daarna vanzelf stoppen.  - Douchen en baden met een infuus is mogelijk. Let op: het infuus en de filter van de elastomeerpomp mogen niet nat worden. Er kan bijvoorbeeld een douchehoes gebruikt worden. Vraag dit, indien nodig, na bij de verpleegkundige van de Kinderthuiszorg.
73	Start biologische reumaremmers	Almelo, route 1.6; Hengelo, route 0.8  Röntgenfoto van de longen. De aanvraag vindt digitaal plaats. U krijgt dus geen aanvraag op papier mee. 2. Afspraak longarts Hengelo, route 0.9  Afspraak polikliniek longziekten voor Mantoux test (=kleine injectie) en na 3 dagen aflezen hiervan.  Afspraak bij de longarts om uitslagen van tuberculose onderzoek te bespreken. Verwijzing vindt digitaal plaats. U ontvangt een oproep van de polikliniek longziekten. 3. Bloedonderzoek: alleen bij
74	Bekkenbodem problemen bij de vrouw	Veel vrouwen hebben verschillende klachten tegelijk. Een probleem in het ene orgaan kan gevolgen hebben voor een ander orgaan.
75	Blaaskatheter	Zowel mannen als vrouwen met een katheter kunnen gemeenschap hebben. Daarbij gebruiken ze het katheterstopje. Vrouwen kunnen de katheter op de buik vastplakken. Mannen kunnen de katheter langs de penis leggen en daarna een condoom omdoen waardoor de katheterslang blijft zitten. Dit kan als hinderlijk worden ervaren. Een suprapubische katheter kan dan een goed alternatief zijn. Dit is een katheter die via een klein sneetje in de buikwand (net boven het schaambeen) in de blaas wordt geplaatst. De uroloog voert deze ingreep meestal uit op de polikliniek. U krijgt hiervoor een plaatselijke verdoving.
76	Operatiekamer complex (OKC) opname afdeling	In ZGT serveren wij ‘s ochtends en ‘s middags een broodmaaltijd. Op de afdeling krijgt u ’s avonds een warme maaltijd. Alle maaltijden kunt u overigens zelf samenstellen. Bent u vegetariër, gebruikt u een dieet of heeft u om godsdienstige redenen bepaalde voedingswensen? Geef dit aan, dan houden we daar natuurlijk rekening mee.
77	Galweg drainage	Aangezien de behandeling plaatsvindt op de OK, is het niet toegestaan om tijdens de behandeling een eigen pyjama te dragen. Van de verpleegkundige krijgt u bij uw opname een operatiejasje aan. Tijdens en de eerste uren na de behandeling heeft u geen ondergoed aan. Mocht u snel last van koude voeten hebben, kunt u sokken meebrengen. Aangezien uw zuurstofgehalte in het bloed tijdens de behandeling wordt gecontroleerd, vragen wij u nagellak/ kunstnagels van 1 hand te verwijderen. Sieraden kunt u het beste thuis laten.
78	Sedatie en_of analgesie tijdens onderzoek of behandeling	behandeling In deze folder leest u wat u kunt verwachten rondom de screening en krijgt u informatie over alles rondom de sedatie (diepe slaap) en/of analgesie (pijnstilling).
79	Fysiotherapie ter voorkoming van parastomale hernia	Als bovenstaande oefening goed gaat kunt u deze oefening gaan verzwaren. Span de buikspieren aan en til uw hoofd op, zonder dat de schouders loskomen van de onderlaag. Houd het hoofd 10 tellen in deze positie. Bouw deze oefening op naar 10 herhalingen achter elkaar. Blijf goed doorademen.
80	Inhaleren met behulp van een Autohaler	Stap 5. Ga rechtop staan of zitten, het hoofd iets achterover. Adem langzaam, volledig uit, niet in de autohaler®. Stap 6. Plaats het mondstuk tussen de tanden en sluit de lippen eromheen.
81	Gekwetste knie	MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.
82	Klachtenonderzoekscommissie Ziekenhuizen Oost-Nederland (folder)	Als de klacht naar oordeel van de klachtenonderzoekscommissie van ingewikkeld medisch-inhoudelijke/technische aard is, dan kan de klachtenonderzoekscommissie u adviseren deze voor te leggen aan een daartoe meer geëigende en beter toegeruste instantie.
83	Thuisoefeningen voor BPPD (benigne paroxysmale positieduizeligheid)	U voert de Brandt-Daroff oefeningen 2 weken lang, 3 maal per dag uit. Van positie 1 naar positie 4 en weer terug naar positie 1 neemt ongeveer 2 minuten in beslag. Iedere houding wordt namelijk 30 seconden aangehouden. De hele cyclus wordt per oefensessie 5 keer herhaald. Tijd Oefening Duur Ochtend 5 herhalingen 10 minuten Middag 5 herhalingen 10 minuten Avond 5 herhalingen 10 minuten In de meeste gevallen hebben de oefeningen binnen ongeveer 10 dagen een zodanig effect, dat de klachten (vrijwel) volledig zijn verdwenen.
84	Verwijderen tatoeages _ bestralingspuntjes (ZGT Helon)	Helon Huid- en Laserkliniek Oost Nederland Geerdinksweg 139-53 7555 DL Hengelo Telefoonnummer 088 708 49 90 helon.nl info@helon.nl
85	Dieet bij verhoogd cholesterol	Voor een aantal groepen is het aan te raden extra vitamine D te gebruiken als aanvulling op de voeding. Aan vrouwen tussen 50-70 jaar wordt 10 mcg/dag (400 IE) en aan alle ouderen vanaf 70 jaar wordt 20 mcg/dag (800 IC) geadviseerd. Voor mensen met een donkere huidskleur geldt het advies 10 mcg extra. Vraag uw diëtist voor meer informatie hierover of kijk op voedingscentrum.nl
86	AC à 3 weken	De medicijnen worden u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De toediening duurt ongeveer één uur. De kuur wordt afhankelijk van de bloeduitslagen om de drie weken gegeven. Naast de algemene bijwerkingen kunnen de volgende specifieke bijwerkingen optreden:  - Bij koorts boven de 38,5° moet u contact met ons opnemen.  - Uw haar gaat uitvallen. Dit is van tijdelijke aard en begint meestal twee à drie weken na de eerste toediening. Haaruitval begint meestal met een pijnlijke hoofdhuid. Een machtiging voor een eventuele pruik kunt u vragen aan de oncologieverpleegkundige.  - Door Adriamycine, is tot enkele dagen na de kuur rood verkleuring van de urine en soms het traanvocht mogelijk. Dit is onschuldig. Het kan mogelijk aanleiding geven tot verkleuring van contactlenzen. Het is daarom aan te raden deze de eerste 48 uur na toediening niet te dragen.  - Cyclofosfamide kan klachten geven die lijken op een blaasontsteking. Het is daarom van belang dat u gedurende de eerste dagen na de kuur veel drinkt (anderhalf tot twee liter).  - Resten cytostatica kunnen tot dag zeven in het lichaamsvocht ( onder meer urine, ontlasting, sperma, speeksel en braaksel) aanwezig zijn. In het ziekenhuis krijgt u adviezen over hoe u hiermee om kunt gaan. Als u klachten krijgt die u niet vertrouwt mag u altijd contact met ons opnemen
87	Poliklinische revalidatiebehandeling	Polikliniek revalidatie: 088 708 33 10 Routenummer 0.15 Fysio-/ergotherapie: 088 708 52 00 Routenummer 0.15 Logopedie: 088 708 32 10 Routenummer 2.11 Maatschappelijk werk: 088 708 39 23 Routenummer 2.11 Psychologie: 088 708 53 11 Routenummer 3.14
88	Bevacizumab, patiënteninformatie	Heeft u na het lezen van deze informatie nog vragen, neem dan contact op met uw behandelend specialist, verpleegkundig specialist of oncologieverpleegkundige. Dagbehandeling oncologie ZGT:  - 088 708 35 64 Buiten kantoortijden via afdeling 5 west/oncologie:  - 088 708 34 20
89	Ontslaginformatie voor patiënten na een openhartoperatie	Contactgegevens Bij vragen of klachten, tot 14 dagen na ontslag, kunt u contact opnemen. Tijdens kantoortijden: polikliniek cardiologie. Telefoonnummer: 088 708 33 00 (maandag t/m vrijdag van 8.00 - 12.00 uur en van 13.00 - 16.30 uur) Buiten kantoortijden: afdeling cardiologie. Telefoonnummer: 088 708 37 94 E il h t lid ti t l Wandelen Het maken van een wandeling is toegestaan en raden wij u zelfs aan. Begin met dagelijks een wandeling en breid dit uit in frequentie en tijd. Luister naar eigen lichaam! Breidt de inspanningen/activiteiten langzaam uit naar kunnen. Het duurt 6 weken voordat het borstbeen goed aan elkaar is gegroeid. Bij wondproblemen van het borstbeen Neem contact op met Medisch Spectrum Twente (Enschede). Autorijden Zelf autorijden na 4-6 weken: u dient zich dan goed te voelen (o.a. niet duizelig). Douchen Geen bezwaar. Bad Na 3 weken. Tillen Eerste 6 weken 1 kg per hand/arm. Ga vooruit: BEWEEG!
90	Bio impedantie meting	- Voor de meting moet u sieraden af doen.  - Meldt u het aan de longfunctieanalist als u metalen implantaten heeft.  - Gebruik voor het onderzoek geen zware maaltijd en zorg dat uw blaas leeg is.
91	Trommelvliesbuisjes	Preoperatieve polikliniek Als voorbereiding op de operatie wordt uw kind op de polikliniek opname planning en anesthesie onderzocht. Hier wordt uw kind ook voorbereid op de operatie. Tijdens dit preoperatieve onderzoek wordt ook de pijnmedicatie afgesproken en krijgt u een folder ‘Paracetamol kinderen’ en ‘Anesthesie kinderen’ mee. Wij verzoeken u vóór de ingreep contact op te nemen met de polikliniek keel-, neus- en oorheelkunde (KNO), telefoonnummer 088 708 33 50 om te overleggen of de ingreep door kan gaan als:  - Uw kind waterpokken of kinkhoest heeft. De ingreep wordt waarschijnlijk uitgesteld.  - Er in de drie weken voorafgaand aan de ingreep een besmettelijke kinderziekte (bof,  - rode hond, waterpokken, mazelen, kinkhoest) heerst in de directe omgeving van uw kind, bijvoorbeeld in het gezin, in de buurt of op school.  - Uw kind de dag voor de ingreep (nog) koorts hoger dan 38 graden heeft en of langer dan twee dagen ziek is.  - Als uw kind de ochtend van de ingreep ziek blijkt te zijn, dan kunt u vanaf 7.00 uur contact opnemen met de dagopname KNO, telefoonnummer 088 708 36 64.
92	Verwijderen van de neus- en keelamandelen bij kinderen	Als een behandeling of onderzoek in overleg met u (en uw kind) is afgesproken, wordt op uw medewerking gerekend. U bent daarnaast verplicht om de arts duidelijk en volledig te informeren, zodat deze een goede diagnose bij uw kind kan stellen en hem de juiste behandeling kan bieden.
93	Naar huis met TPN voeding, diëtetiek	In deze folder leest u welke zorgverleners u helpen bij het thuis gebruiken van TPN voeding. Ook leest u waar u op moet letten bij het gebruik deze voeding. Uw behandelend arts heeft met u afgesproken dat u met TPN voeding naar huis gaat. Deze voeding komt via een centrale lijn rechtstreeks in de bloedbaan. Wanneer u langer dan vier weken een centrale lijn nodig heeft, geeft uw arts vaak de voorkeur aan een getunnelde centrale lijn (onder de huid). Deze wordt ingebracht door de chirurg. Verwacht uw arts dat u de centrale lijn korter dan vier weken nodig heeft, dan gaat de voorkeur uit naar een ongetunnelde lijn. Deze wordt ingebracht door de anesthesist.
94	Reconstructie na lumpectomie bij borstkanker	Laat uw armen langs uw lichaam hangen. Vervolgens een aantal keren uw schouders optrekken en weer ontspannen. Ronddraaien(vooral naar achteren) mag ook.
95	Botoxinjectie bij overactieve blaas	Botuline toxine type A is een gif dat in de natuur voorkomt, maar gezuiverd en verdund als medicijn gebruikt wordt (Botox). Na het injecteren hiervan in de blaaswand helpt het de blaasspier te ontspannen en plotselinge samentrekking te verminderen. Daarnaast werkt het ook in op de communicatie tussen de blaas en de hersenen. Hierdoor ervaart men minder vaak aandrang, neemt de plasfrequentie af en vermindert het urineverlies.
96	MRI, Enteroclyse	½ flesje magnesiumsulfaat (7,5gr) toegevoegd aan een groot glas water innemen. 1 tablet Bisacodyl innemen.
97	Postoperatieve ileus	Mogelijke oorzaken voor het tijdelijk uitblijven van darmbewegingen kunnen zijn:  - een stressreactie van het lichaam op de operatie  - het gebruik van bepaalde medicijnen  - schommelingen in de vocht- en mineraalhuishouding  - een infectie in de buik  - de effecten van de narcose.
98	Vaatlaserbehandeling voor wratten (ZGT Helon)	Helon Huid- en Laserkliniek Oost Nederland biedt al vanaf het jaar 2000 verschillende behandelingen op het gebied van bijna elke vorm van huidproblematiek. Ons team staat dagelijks klaar met veel motivatie en passie om u letterlijk ‘beter in uw vel’ te laten voelen.
99	Fast-Track polikliniek CT-calciumscore en myocardperfusiescan	Cafeïne maakt de uitslagen van de scans onbetrouwbaar. Vanaf de dag voor de onderzoeken mag u daarom geen cafeïne houdende producten nuttigen. Dus geen koffie, thee, chocolade, ijsthee, energiedranken, et cetera. Wanneer u hierdoor hoofdpijn ervaart, mag u een paracetamol innemen (zonder cafeïne). U mag de dag van de onderzoeken een licht ontbijt nemen, daarna moet u nuchter blijven. U mag dan niets eten en drinken. Neem een boterham met vetrijk beleg mee, zoals kaas of vleeswaren (zie ook de folder ‘Myocardperfusiescan’).
