Question no,Question,Answer,Section
81,Wat gebeurt er tijdens het maken van de scan?,"Eerst maakt de laborant een overzichtsfoto, daarna schuift de tafel terug en maakt de laborant een lange opname terwijl de tafel steeds een stuk verschuift. U krijgt instructies via de intercom.","CT Abdomen zonder oraal contrast, patiëntvoorbereiding --- Verloop van het onderzoek --- De radiodiagnostisch laborant haalt u op uit de wachtkamer en brengt u naar de kamer waar het onderzoek zal plaatsvinden. Bij het maken van de CT is het belangrijk dat het lichaamsdeel waar het om gaat zo min mogelijk door kleding wordt bedekt. De laborant zegt u welke kleding u uit moet doen. U komt op de verschuifbare onderzoekstafel te liggen. De laborant vraagt u uw armen boven uw hoofd te leggen en schuift de tafel in de ring van de CT-scanner. Het is belangrijk dat u goed stil ligt. Tijdens het maken van de scan zit de laborant radiologie achter de schakeltafel in een kamer naast u. De laborant kan u zien en horen en zal u vragen de adem in te houden als de scan gemaakt wordt. Via de intercom krijgt u duidelijke instructies. Eerst maakt de laborant een overzichtsfoto, de tafel verschuift een eind. Hierna schuift de tafel terug. Daarna maakt de laborant een lange opname; u moet de adem inhouden, terwijl de tafel steeds een stuk verschuift. De laborant zegt u wanneer u weer normaal kunt ademen. De computer maakt vervolgens van het gescande gebied de beelden."
82,Waarvoor wordt Fistulografie gebruikt?,Fistulografie is een procedure waarbij foto's van de fistelgang worden gemaakt om deze te beoordelen en te diagnosticeren.,"Fistulografie --- 23 --- Foto’s van fistelgang (Fistulografie) Uw behandelend specialist heeft u voor het maken van foto’s verwezen naar de afdeling radiologie (röntgen). Dit is een afdeling waar radiologen (artsen) en radiodiagnostisch laboranten met behulp van verschillende technieken, afbeeldingen van het lichaam maken. Bij het maken van foto’s wordt gebruik gemaakt van röntgenstralen. Deze stralen kunnen verschillende delen in het lichaam zichtbaar maken en geven daarvan een afbeelding op een beeldscherm. Nadat de foto’s gemaakt zijn, worden deze door een radioloog beoordeeld."
83,Is er enige voorbereiding nodig voor de bijschildklierscan preoperatief?,"Er is geen speciale voorbereiding nodig voor deze procedure op de afdeling nucleaire geneeskunde, maar het kan zijn dat u voor de operatie andere instructies krijgt en dat u nuchter moet zijn.","Bijschildklierscan preoperatief --- Voorbereidingen op de procedure --- Voor de procedure op de afdeling nucleaire geneeskunde is geen speciale voorbereiding noodzakelijk. Het kan echter zijn dat u voor de operatie andere instructies krijgt en dat u nuchter moet zijn. Bent u zwanger, denkt u dit te zijn, of geeft u op dit moment borstvoeding, neem dan zo snel mogelijk contact op met de afdeling nucleaire geneeskunde."
84,Wat is de kans op schade voor het ongeboren kind bij een röntgen- of nucleair onderzoek?,De kans op schade voor het ongeboren kind bij een röntgen- of nucleair onderzoek is erg klein.,Ioniserende straling en zwangere of borstvoeding gevende patiënten --- Zwangerschap pas achteraf bekend --- De kans op schade voor het ongeboren kind is bij een röntgen- of nucleair onderzoek erg klein. Is er bij u een onderzoek uitgevoerd waarbij ioniserende straling is gebruikt en u wist op het moment van onderzoek nog niet dat u zwanger was? Dan adviseren wij u om contact op te nemen met uw aanvragend medisch specialist. Deze weet welke onderzoeken u heeft ondergaan en kan u meer informatie geven.
85,Worden mannen en vrouwen gemengd verpleegd in het ZGT-ziekenhuis?,"Ja, in het ZGT-ziekenhuis liggen mannen en vrouwen op één kamer.","Dagopname --- De dag van de opname --- Op het afgesproken tijdstip kunt u zich melden bij de receptie in de centrale hal. Eventueel kan een vrijwilliger van de gastenbegeleiding u naar de verpleegafdeling begeleiden. In het ZGT-ziekenhuis wordt gemengd verpleegd. Dit betekent dat mannen en vrouwen op één kamer liggen. Voordat u naar de behandelkamer of operatiekamer wordt gebracht, vinden er een aantal voorbereidingen plaats zoals: 
- Een anamnese gesprek. 
- Het eventueel controleren van temperatuur, pols en bloeddruk."
86,"Hoe worden geschillen over verzoeken tot inzage, afschrift of vernietiging beslist?","De Raad van Bestuur beslist over geschillen, indien nodig na het inwinnen van juridisch advies.","Aanvraagformulier kopie medische gegevens --- Geschillen --- Bij meningsverschillen over verzoeken tot inzage, afschrift of vernietiging beslist de Raad van Bestuur, zo nodig na het inwinnen van juridisch advies. Binnen de grenzen van de wet heeft de Raad van Bestuur de bevoegdheid af te wijken van het gestelde in deze toelichting. Onderstaande ruimte a.u.b. openlaten voor aantekeningen van ziekenhuismedewerkers. Naam Legitimatienummer Datum Handtekening"
87,Welke specifieke informatie is beschikbaar in de informatiemap?,In de informatiemap kunt u informatie vinden over bijvoorbeeld de globale dagindeling en andere belangrijke zaken omtrent uw opname.,Afdeling 4 west Neuro Care Unit (ZGT Almelo) --- Informatie --- In de eerste dagen van uw opname komt er veel informatie op u en uw familie af. In de informatiemap; CVA Keten Twente kunt u deze informatie teruglezen. Informatie over de globale dagindeling kunt u vinden op het whiteboard op de patiëntenkamer.
89,Wordt acupunctuur vergoed vanuit de basisverzekering?,"Nee, acupunctuur wordt niet vergoed vanuit de basisverzekering.","Acupunctuur  (Nocepta) --- Vergoeding --- Acupunctuur wordt niet vergoed vanuit de basisverzekering. U betaalt de kosten van € 55,60 vooraf aan de behandeling bij de secretaresse van de polikliniek Pijnbestrijding. Er staat een pin automaat bij de receptie. U krijgt een nota mee voor declaratie bij uw zorgverzekeraar. De vergoeding van de zorgverzekeraar is afhankelijk van hoe u verzekerd bent. Informeert u daarom vooraf bij uw zorgverzekeraar of deze behandeling wordt vergoed."
90,Moet er bij het ophalen van de gegevens ook een geldig legitimatiebewijs worden getoond?,"Ja, bij het ophalen van de gegevens dient een geldig legitimatiebewijs getoond te worden.",Aanvraagformulier kopie medische gegevens --- Identificatie --- Voeg voor het aanvragen een kopie legitimatie (rijbewijs/ID-kaart/paspoort) toe aan dit formulier. Bij het ophalen van de gegevens dient een geldige legitimatie te worden getoond. Bij machtiging dient de patiënt en de gemachtigde het aanvraagformulier te tekenen. Hierbij geeft de patiënt toestemming dat betreffende gemachtigde zijn of haar gegevens in ontvangst kan nemen. In dat geval moet bij het afhalen behalve een ingevuld formulier ook een kopie van het legitimatiebewijs van de patiënt worden overgelegd.
91,Wat is de geheimhoudingsplicht van een psycholoog?,"Een psycholoog heeft geheimhoudingsplicht en verstrekt zonder uw toestemming geen informatie aan derden, tenzij dit noodzakelijk is om direct gevaar te voorkomen of door wettelijke bepalingen of een rechterlijke beslissing wordt gevraagd.",Afdeling medische psychologie --- Beroepsgeheim --- De psycholoog heeft geheimhoudingsplicht en verstrekt zonder uw toestemming geen informatie aan derden (buiten het behandelteam). Dit blijft gelden ook na het beëindigen van het contact. De psycholoog mag de geheimhoudingsplicht alleen doorbreken als hij of zij gegronde redenen heeft om te menen dat het doorbreken van de geheimhouding het enige en laatste middel is om direct gevaar voor personen te voorkomen. Of wanneer hij of zij door wettelijke bepalingen of een rechterlijke beslissing daartoe wordt gedwongen.
92,Wat is de naam van deze folder?,De naam van deze folder is 'Bipolaire enucleatie van de prostaat'.,Bipolaire enucleatie van de prostaat --- Tot slot --- Deze folder betreft een algemene voorlichting en is bedoeld als extra informatie naast het gesprek met uw behandelend specialist. Bijzondere omstandigheden kunnen tot wijzigingen aanleiding geven. Dit zal altijd door uw behandelend specialist aan u kenbaar worden gemaakt. Bij vragen kunt u contact opnemen met de polikliniek urologie.
93,Wat is urethraplastiek en waar is het voor bedoeld?,Urethraplastiek is een chirurgische ingreep die wordt uitgevoerd om de plasbuis te herstellen of te vervangen. Het doel van de ingreep is om de functie van de plasbuis te herstellen en eventuele problemen met plassen te verhelpen.,Urethraplastiek --- Tot slot --- Deze folder geeft algemene voorlichting en is bedoeld als extra informatie naast het gesprek met uw behandelend specialist. In bijzondere situaties kunnen er veranderingen plaatsvinden. Uw behandelend medisch specialist laat u dit altijd weten. Heeft u na het lezen van deze folder nog vragen dan kunt u contact opnemen met de polikliniek urologie.
94,Wat is ontwikkelingsgerichte zorg?,"Ontwikkelingsgerichte zorg voor uw baby is het verminderen van prikkels en stress, het stimuleren van de ontwikkeling en het bevorderen van de band tussen kind en ouders.","Afdeling moeder en kind (neonatologie) --- Ontwikkelingsgerichte zorg --- Ontwikkelingsgerichte zorg voor uw baby is het verminderen van prikkels en stress, het stimuleren van de ontwikkeling en het bevorderen van de band tussen kind en ouders. Bij te vroeg geboren kinderen is de hersenontwikkeling nog niet helemaal voltooid. Daarom streven wij ernaar om sommige prikkels zoveel mogelijk te voorkomen. Dit zijn bijvoorbeeld prikkels als harde geluiden, een onrustige omgeving, veel licht en verstoringen van de slaap. U bent als ouder(s) de belangrijkste en meest constante personen in het leven van uw baby. Daarom betrekken wij u zoveel mogelijk bij de zorg van uw baby. Wij begeleiden u graag om het gedrag van uw baby te leren (her)kennen, zodat de zorg zo goed mogelijk op uw baby wordt afgestemd. Wij begeleiden u in wat uw baby nodig heeft om zich zo goed mogelijk te kunnen ontwikkelen. Op deze manier maken we een zorgplan dat inspeelt op de persoonlijke behoeftes van uw baby. Om de relatie en hechting tussen u en uw baby te bevorderen, wordt het kangoeroeën oftewel buidelen aanbevolen. Hierbij legt de moeder of vader de baby bloot op haar/zijn borst. In verband met de veiligheid tijdens het huid-op-huidcontact is het belangrijk dat één van de beide ouders wakker is, ouder en baby half rechtop zitten zodat de baby goed kan ademen en dat één van de ouders aandacht voor het kind heeft. U kunt als moeder ook een doekje dat u op de blote huid gedragen hebt onder het hoofdje van uw baby leggen. Uw baby zal uw vertrouwde geur herkennen. Video Interactie Begeleiding (VIB) VIB geeft de mogelijkheid om u bewust te worden van het contact dat u en uw baby hebben. We maken video-opnamen van u en uw baby en later kijken we deze beelden samen met u terug. Dagboekje U kunt een dagboekje bijhouden. Hierin kunt u zo vaak u wilt uw ervaringen en gevoelens opschrijven. Hierbij mag u ook gebruik maken van de gegevens uit het zorgdossier. Ook kan de verpleegkundige die voor uw kind zorgt een stukje in het dagboekje schrijven."
95,Waarom mogen ouders van te vroeg geboren baby's hen niet vergelijken met 'op tijd' geboren baby's van dezelfde leeftijd?,Ouders mogen hun te vroeg geboren baby's niet vergelijken met 'op tijd' geboren baby's van dezelfde leeftijd omdat de ontwikkelingsleeftijd van de te vroeg geboren baby's aftrek van het aantal weken dat ze te vroeg zijn geboren.,"Uw baby thuis --- Gedrag en groei van de baby --- Uw kind heeft al wat meer ‘levenservaring’ dan een baby die ‘op tijd’ is geboren. U moet echter bij het volgen van de groei en ontwikkeling het aantal weken dat uw kind te vroeg is geboren aftrekken van de leeftijd na de geboorte. Is uw kind bijvoorbeeld zestien weken oud, maar negen weken te vroeg geboren, dan is de ontwikkelingsleeftijd zestien min negen, dus zeven weken. Daarom mag u uw kind niet vergelijken met een ‘op tijd’ geboren baby van dezelfde leeftijd. Ouders vragen al snel aan elkaar hoe oud de baby is, om vervolgens onderling te vergelijken. Laat u niet ontmoedigen als uw kind in de ogen van anderen ‘achter’ is. Ieder kind ontwikkelt zich in zijn eigen tempo. Een te vroeg geboren baby haalt de ‘achterstand’ over het algemeen snel in. U zult zich al snel niet meer kunnen voorstellen dat uw kind zo klein was bij de geboorte. Twijfelt u of maakt u zich zorgen, neem dan contact op met de arts van het consultatiebureau of de kinderarts. Zij kunnen u duidelijk maken wat u bij de ontwikkeling van uw kind kunt verwachten. Voor advies kunt u ook altijd contact opnemen met de JGZ verpleegkundige. Zij is ook altijd bereid u in contact te brengen met andere ouders van couveusekinderen. Uw kind zal door de ervaring die het heeft opgedaan in het ziekenhuis, vaak meer willen dan hij of zij lichamelijk aankan. Dit kan een reden zijn voor de onrust. U helpt uw baby in deze periode door met hem of haar te spelen en aandacht te geven. U leert bovendien de behoeften van uw kind kennen door hem of haar goed in de gaten te houden en op de reacties te letten. Probeer niets te forceren, maar geef uzelf en de baby juist de tijd om aan elkaar te wennen. Geduld en vertrouwen zijn hiervoor belangrijke factoren. Samen moet u het juiste ritme vinden."
96,Hoe kan ik contact opnemen met de diëtist?,U kunt telefonisch of per e-mail contact opnemen met de diëtist van de Afdeling diëtetiek ZGT.,Gemalen voeding --- Vragen --- Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl
97,Kan ik ook vragenlijsten invullen voor mijn kind via MijnZGT?,"Ja, u kunt vragenlijsten invullen voor uw kind via MijnZGT. Deze worden klaargezet door het ziekenhuis.","Actigrafie bij kinderen --- Check het dossier van uw kind op MijnZGT --- MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van het medisch dossier van uw kind inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij hebben klaargezet. Kijk voor meer informatie de folder ‘MijnZGT machtiging ouders’."
98,"Wordt de VOD ook besproken tijdens de artsenvisite en zo ja, hoe vaak?","Ja, de VOD wordt dagelijks besproken tijdens de artsenvisite en eventueel aangepast.","Afdeling 3 zuid (ZGT Almelo) --- VOD (voorlopige ontslagdatum) --- Op de afdeling longgeneeskunde werken we met een VOD. Dit houdt in dat de longarts/arts-assistent al direct bij opname een ontslagdatum vaststelt. Dit is een streefdatum waar we met u naar toe werken. Dagelijks wordt in de artsenvisite de VOD geëvalueerd en zo nodig aangepast, als blijkt dat ontslag nog niet haalbaar is."
99,Wat is congenitale heupdysplasie?,Congenitale heupdysplasie is een aangeboren afwijking waarbij de heupkop niet goed in de heupkom past.,Congenitale heupdysplasie --- Informatie --- Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx
100,Wat is de kans dat spontaan weeën ontstaan binnen 24 uur na het breken van de vliezen?,De kans is groot dat u spontaan weeën krijgt binnen 24 uur na het breken van de vliezen.,"(Langdurig) gebroken vliezen --- (Langdurig) gebroken vliezen --- Als de vliezen gebroken zijn, bij een zwangerschapsduur van 37 tot 42 weken, kan het zijn dat de weeën nog even op zich laten wachten en de bevalling dus nog niet begint. De kans is wel groot dat u spontaan weeën krijgt binnen 24 uur. In deze folder leest u wat u kunt verwachten en wat u kunt doen wanneer uw vliezen gebroken zijn."
101,Wat is het advies voor vrouwen die zwanger willen worden en bisfosfonaten gebruiken?,"Het wordt afgeraden om bisfosfonaten te gebruiken als u zwanger bent, een zwangerschapswens heeft of borstvoeding geeft. Neem minstens drie maanden voordat u zwanger wilt worden contact op met uw reumatoloog of reumaverpleegkundige als u een bisfosfonaat gebruikt en een zwangerschapswens heeft.","Bisfosfonaten --- Vruchtbaarheid, zwangerschap en borstvoeding --- Omdat er onvoldoende gegevens bekend zijn over het gebruik van bisfosfonaten tijdens de zwangerschap of borstvoeding, wordt geadviseerd deze middelen niet te gebruiken als u zwanger bent, bij zwangerschapswens of tijdens borstvoeding. Neem tijdig contact op (minimaal drie maanden voordat u zwanger wilt worden) met uw reumatoloog of reumaverpleegkundige wanneer u een zwangerschapswens heeft en een bisfosfonaat gebruikt. Indien u tijdens het gebruik van een bisfosfonaat zwanger wordt neem dan contact op met uw reumatoloog of huisarts."
102,Hoe wordt de groei van de baby bepaald?,De groei van de baby wordt bepaald door het eigen groeivermogen en door de aanvoer van zuurstof en voedingstoffen vanuit de placenta.,"Foetale groeirestrictie --- Oorzaken --- Verminderde placentafunctie De groei van de baby wordt bepaald door het eigen groeivermogen en door de aanvoer van zuurstof en voedingstoffen vanuit de placenta. Bij het grootste deel van de zwangere vrouwen met groeivertraging is de oorzaak een aanvoerstoornis door een verminderde placentafunctie. Doordat de placenta niet goed functioneert, krijgt de baby steeds minder aanvoer van zuurstof en voedingsstoffen. Met name in de tweede helft van de zwangerschap kan het aanbod vanuit de placenta te weinig zijn. Dit proces verbetert niet meer tijdens de zwangerschap. Kenmerkend voor de baby’s met groeivertraging door verminderde placentafunctie is de asymmetrische groeivertraging. Dat wil zeggen dat bijvoorbeeld de baby een te kleine buikomvang heeft in verhouding tot de rest van het lichaam. Dit is het geval bij 70 tot 80 procent van de baby’s met groeivertraging. Andere oorzaken Ook leeftijd, bepaalde ziektebeelden, medicatiegebruik, tijd tussen zwangerschappen, ras, voedingstoestand en leefgewoontes (roken, drugs, alcohol) van een vrouw spelen een rol in het ontstaan van FGR. Verder kunnen sommige infecties bij de baby in de baarmoeder groeivertraging veroorzaken, zoals het cytomegalievirus (CMV). Aangeboren afwijkingen kunnen ook een oorzaak zijn. Baby’s met aangeboren afwijkingen zijn in het hele lichaam vertraagd in de groei (symmetrische FGR). Dit is bij één tot twee procent van de baby’s de oorzaak voor de groeiachterstand. De gynaecoloog zal dan een vruchtwaterpunctie bespreken om chromosomale afwijkingen bij de baby uit te sluiten. Het is goed om te weten dat in 60% van de gevallen van groeivertraging, er geen duidelijke oorzaak gevonden wordt. Sommige mensen krijgen nu eenmaal kleinere kinderen, dit is genetisch bepaald."
103,Kan een opname op de intensive care nodig zijn bij het HELLP-syndroom?,"Ja, in sommige gevallen kan een opname op de afdeling intensive care nodig zijn bij het HELLP-syndroom.","Pre-eclampsie en HELLP syndroom --- Het HELLP–syndroom bij een bijna voldragen zwangerschap --- Als het HELLP-syndroom bij een bijna voldragen zwangerschap optreedt, besluit de arts om uw baby zo spoedig mogelijk geboren te laten worden. Afhankelijk van de toestand van u en/of uw baby bepaalt de arts of de bevalling wordt ingeleid of dat u een keizersnede ondergaat. Zowel vroeg als laat in de zwangerschap geldt bij het HELLP-syndroom dat u tot ongeveer 72 uur na de bevalling goed in de gaten gehouden wordt. Het kan zijn dat er een mogelijke verergering van de situatie en/of complicaties ontstaan. In sommige gevallen is dan een opname op de afdeling intensive care nodig."
104,Wat is gynaecomastie?,Gynaecomastie is de medische term voor borstvorming bij mannen.,"Borstvorming bij mannen _ gynaecomastie, behandeld door de chirurg --- Borstvorming bij mannen --- Gynaecomastie Deze folder geeft u een globaal overzicht van de mogelijke oorzaken en klachten van borstvorming bij de man en de meest gebruikelijke behandelingsmogelijkheden. Het is goed u te realiseren dat bij het vaststellen van een aandoening de situatie voor iedereen weer anders kan zijn."
105,Wie zal mij informatie geven over het gebruik van zetpillen en klysma's?,"Uw MDL-arts, verpleegkundig specialist en/of MDL-verpleegkundige zal u informatie geven over het gebruik van zetpillen en klysma's.","Zetpil en klysma bij IBD --- Zetpil en (schuim)klysma bij IBD --- Uw MDL-arts, verpleegkundig specialist en/of MDL-verpleegkundige heeft met u gesproken over het gebruik van zetpillen/klysma’s. In deze folder krijgt u informatie over de werking en het gebruik van dit soort medicijnen. Deze folder is echter géén vervanging van de bijsluiter. Heeft u na het lezen van deze folder nog vragen, dan kunt u daarmee bij uw MDL-arts, verpleegkundig specialist en/of MDL-verpleegkundige terecht."
106,Wat moet ik doen als er na 5 minuten nog niets is?,"Als er na ongeveer 5 minuten nog niets is, ga dan niet hard persen maar wacht op een volgende gelegenheid. Door dwingen neemt de reflex juist af.","Adviezen toiletgedrag ontlasten --- Adviezen als de ontlasting niet goedkomt --- - Adem een aantal keren rustig in en uit, en beweeg uw buik hierbij goed mee (buikademhaling). 
- Daarna probeert u nogmaals op de juiste manier te persen. 
- Als dan de ontlasting nog niet komt, kantelt u 10 keer het bekken voor- en achterover in het ritme van de ademhaling: o tijdens de uitademing het bekken achterover kantelen en de buik intrekken o tijdens de inademing het bekken voorover kantelen en de buik loslaten. Doe dit in een rustig tempo: door de wisselende druk ontstaat als het ware een massage van de darmen 
- Komt de ontlasting dan niet, terwijl u toch behoorlijke aandrang heeft, probeer dan ongeveer 10 minuten intensief te bewegen. 
- Ga daarna weer naar het toilet, ga ontspannen zitten en probeer of de ontlasting wil komen met de hierboven beschreven tips. 
- Als er na ongeveer 5 minuten nog niets is, ga dan niet hard persen, maar wacht een volgende gelegenheid af. Door dwingen neemt de reflex juist af! Neem tussendoor wat lichaams-beweging."
107,Wat is het doel van een fietsinspanningsonderzoek met arteriële bloedgassen?,Het doel van een fietsinspanningsonderzoek met arteriële bloedgassen is om het maximale inspanningsvermogen van een persoon te testen met behulp van een fietstest.,Fietsinspanningsonderzoek met arteriele bloedgassen --- Doel --- Bij dit onderzoek wordt uw maximale inspanningsvermogen getest door middel van een fietstest.
108,Wat is het doel van het afbinden of dicht nieten van bullae tijdens een thoracoscopische operatie?,Het doel van het afbinden of dicht nieten van bullae tijdens een thoracoscopische operatie is om bloedingen te voorkomen en het longweefsel te beschermen.,"Kijkoperatie in de borstholte --- Mogelijke operaties: --- De thoracoscopische operatie bij spontane pneumothorax De zwakke plekken in de long zijn meestal te zien als blazen (bullae) op het longoppervlak. Deze bullae kunnen heel klein zijn, maar ook groot, tot zelfs bijna zo groot als de hele long. De bullae, vooral die lucht lekken, worden afgebonden of dicht geniet. Dit laatste gebeurt met een speciaal nietapparaat. Hierna wordt het longvlies dat aan de borstholte vastzit, ruw gemaakt of gedeeltelijk verwijderd. Bijna altijd wordt daarna ook nog talk achtergelaten in de borstholte. Daardoor kan de long na de operatie met de borstwand vergroeien, zodat later geen kans meer bestaat op luchtlekkage tussen de long en de borstholte. De thoracoscopische verwijdering van kleine goedaardige gezwellen Daarbij wordt het longweefsel rondom het gezwel met het boven genoemde nietapparaat afgeniet, waarna het weefsel kan worden verwijderd. De diagnostische thoracoscopie en 'open' longbiopsie Zoals bij de verwijdering van een gezwel, kan met een nietapparaat een stuk longweefsel worden verwijderd voor microscopisch onderzoek. Ook stukjes longvlies of lymfklier kunnen worden uitgenomen voor onderzoek. De thoracoscopische sympathectomie Hierbij wordt in het bovenste gedeelte van de borstholte de zenuwbaan opgezocht, die betrokken is bij de overmatige zweetproductie of met de vaatkramp te maken heeft. Er wordt een stukje van enkele centimeters verwijderd (afgeklipt of verschroeid) met het doel de symptomen te doen verdwijnen of verminderen. Het is goed er rekening mee te houden, dat wanneer de thoracoscopische ingreep technisch niet goed uitvoerbaar blijkt, er reden kan zijn om de thoracoscopische procedure te staken en aansluitend over te gaan op een 'normale' operatie voor uw probleem. Aan het eind van een thoracoscopische ingreep worden er soms een of twee slangetjes (drains) in de borstkas gebracht. Aan dit slangetje(s) wordt een afzuigsysteem bevestigd. Dit afzuigsysteem zorgt ervoor dat de long zich zo goed mogelijk kan ontplooien, waarbij lucht, wondvocht en bloed worden afgezogen. De luchtlekkage stopt meestal binnen twee tot vijf dagen. Wanneer de controle röntgenfoto goed is kan de drain worden verwijderd. Bij thoracoscopische ingrepen, waarbij nogal wat pijn na de operatie te verwachten is, wordt vaak een zeer dun slangetje in de rug (epiduraal katheter) aangebracht. Hier doorheen kunnen extra pijnstillende middelen worden gegeven. Na twee of drie dagen wordt dit slangetje verwijderd en krijgt u eenvoudige pijnstillers."
109,Waar wordt u gevraagd om in te ademen tijdens de meting?,U wordt gevraagd om in te ademen in het meetapparaat na een volledige uitademing.,NO (stikstofmonoxide) meting --- De meting --- De longfunctieanalist vraagt u om in het meetapparaat na een volledige uitademing zo diep mogelijk in te ademen en met een constante snelheid gedurende 10 seconden weer uit te ademen.
110,Wie heeft u verwezen voor een NO-meting?,Uw medisch specialist heeft u verwezen voor een NO-meting.,NO (stikstofmonoxide) meting --- NO-meting --- Uw medisch specialist heeft u verwezen voor een NO-meting. Tijdens dit onderzoek wordt de hoeveelheid stikstofmonoxide (NO) in uw uitgeademde lucht gemeten.
111,Hoe wordt er bij een ooroperatie toegang verkregen tot het oor?,In het algemeen wordt het oor geopend via een snede achter de oorschelp.,"Operaties aan het oor --- Wat voor soorten ooroperaties zijn er? --- Wanneer de gehoorgang te nauw is, dan kan deze met een operatie wijder gemaakt worden. Het merendeel van de ooroperaties betreft operaties aan trommelvlies en middenoor. In het algemeen wordt hierbij het oor geopend via een snede achter de oorschelp. Uit de hierboven genoemde redenen om te opereren heeft u wellicht al begrepen, dat grofweg een onderscheid gemaakt kan worden in twee typen operaties: sanerende operaties en gehoor verbeterende operaties. Sanerende ooroperatie Een zogenaamde sanerende operatie heeft als doel de aanwezige ontsteking of ingroei van de huid in het oor te verwijderen en op deze wijze te genezen. Vaak is het bij deze ingreep nodig om niet alleen het middenoor te openen, maar ook het daarachter gelegen deel van het schedelbot. Bij bepaalde ontstekingen is het bovendien gewenst om het oor, ook wanneer na de operatie geen klachten meer bestaan, na ongeveer een jaar opnieuw met een operatie te openen en te controleren. Gehoor verbeterende ooroperatie Een zogenaamde gehoor verbeterende operatie houdt in wat de naam al aangeeft: een operatie met de bedoeling het gehoor te verbeteren. Dit kan een trommelvliessluiting zijn, een herstel van de gehoorbeenketen, het gedeeltelijk vervangen van de vastzittende stijgbeugel, et cetera. In sommige gevallen zal daarbij gebruik gemaakt moeten worden van kunststofmateriaal. Gelukkig is het in veel gevallen mogelijk om tijdens dezelfde operatie, zowel de ontsteking te verwijderen als de oorzaak voor de slechthorendheid weg te nemen. In dat geval is de operatie dus zowel sanerend als gehoor verbeterend geweest."
112,Wat wordt er gemeten bij een bodyplethysmografie?,De weerstand over uw luchtwegen en de totale longinhoud worden gemeten.,Spirografie en bodyplethysmografie met reversibiliteit --- Bodyplethysmografie --- Bij dit onderzoek wordt de weerstand over uw luchtwegen gemeten en de totale longinhoud bepaald. De deur van de cabine wordt tijdens deze oefening een korte tijd dicht gedaan. U kunt de deur van de binnenkant open maken. De longfunctieanalist vertelt u hoe u dat kunt doen. U wordt gevraagd om ongeveer een minuut normaal te ademen. Daarna mag u kort tegen een klepje in- en uitademen. Vervolgens vraagt de analist u om maximaal uit en in te ademen.
113,Wat voor mondstuk krijg je in je mond tijdens het onderzoek?,Tijdens het onderzoek krijg je een mondstuk in de mond waarmee je verbonden bent met een longfunctieapparaat.,Spirografie en residubepaling zonder medicatie --- Het onderzoek --- Tijdens het onderzoek zit u op een stoel. U krijgt een mondstuk in de mond waarmee u verbonden bent met een longfunctieapparaat. Uw ademhaling wordt geregistreerd. U krijgt ook een neusklem op om te voorkomen dat lucht via de neus in- of uitgeademd kan worden.
114,Wat wordt er gemeten bij het onderzoek 'Spirografie en residubepaling zonder medicatie'?,Bij dit onderzoek wordt uw totale longinhoud gemeten.,"Spirografie en residubepaling zonder medicatie --- Residubepaling --- Bij dit onderzoek wordt uw totale longinhoud gemeten. Tijdens deze test ademt u ongeveer drie minuten rustig door het mondstuk. U wordt een paar keer gevraagd om maximaal uit te ademen en maximaal in te ademen. Meldt u vooraf aan de longfunctieanalist(e) of u buisjes of gaatjes heeft in uw trommelvlies, dit kan namelijk van invloed zijn op de meting."
115,Welke voorbereidingen zijn nodig voor een vliegreis met gipsverband?,"Voor een vliegreis met gipsverband zijn de volgende voorbereidingen nodig: 1. Neem ruim van tevoren contact op met de luchtvaartmaatschappij en informeer naar de specifieke regels en richtlijnen. 2. Bereid het nodige papierwerk voor, zoals medische verklaringen en toestemmingsbrieven. 3. Controleer of u extra beenruimte nodig heeft en vraag dit van tevoren aan. 4. Neem extra pijnstillers en/of medicatie mee voor de reis en vraag toestemming aan uw arts. 5. Zorg ervoor dat u comfortabele kleding draagt en loszittend schoeisel. 6. Controleer of u een begeleider nodig heeft en regel dit van tevoren.",Vliegen met gips --- Patiënten informatie --- ‘vliegen met gipsverband’ U heeft gips om uw arm en/of been en u bent van plan om een vliegreis te gaan maken. In deze folder leest u over de voorbereidingen die nodig zijn wanneer u op reis gaat met het vliegtuig.
116,Wat moet u doen als er voor de vaste leverdag iets nodig is?,"Als er voor die tijd iets nodig is, kunt u altijd bellen met de zuurstofleverancier.","Zuurstof thuis --- Leverdag --- De zuurstofleverancier spreekt een vaste leverdag in de week met u af. Als er voor die tijd iets nodig is, kunt u altijd bellen met de zuurstofleverancier. U krijgt een telefoonnummer dat 7 dagen in de week en 24 uur per dag bereikbaar is."
