Question no,Question,Answer_x,Section,Unnamed: 0,topic_id,filename,header,section_text,Fold,Fact,Declined_to_answer_on_train_fold_one,Answer_on_train_fold_one,Declined_to_answer_on_train_fold_two,Answer_on_train_fold_two
95,Waarom mogen ouders van te vroeg geboren baby's hen niet vergelijken met 'op tijd' geboren baby's van dezelfde leeftijd?,Ouders mogen hun te vroeg geboren baby's niet vergelijken met 'op tijd' geboren baby's van dezelfde leeftijd omdat de ontwikkelingsleeftijd van de te vroeg geboren baby's aftrek van het aantal weken dat ze te vroeg zijn geboren.,"Uw baby thuis --- Gedrag en groei van de baby --- Uw kind heeft al wat meer ‘levenservaring’ dan een baby die ‘op tijd’ is geboren. U moet echter bij het volgen van de groei en ontwikkeling het aantal weken dat uw kind te vroeg is geboren aftrekken van de leeftijd na de geboorte. Is uw kind bijvoorbeeld zestien weken oud, maar negen weken te vroeg geboren, dan is de ontwikkelingsleeftijd zestien min negen, dus zeven weken. Daarom mag u uw kind niet vergelijken met een ‘op tijd’ geboren baby van dezelfde leeftijd. Ouders vragen al snel aan elkaar hoe oud de baby is, om vervolgens onderling te vergelijken. Laat u niet ontmoedigen als uw kind in de ogen van anderen ‘achter’ is. Ieder kind ontwikkelt zich in zijn eigen tempo. Een te vroeg geboren baby haalt de ‘achterstand’ over het algemeen snel in. U zult zich al snel niet meer kunnen voorstellen dat uw kind zo klein was bij de geboorte. Twijfelt u of maakt u zich zorgen, neem dan contact op met de arts van het consultatiebureau of de kinderarts. Zij kunnen u duidelijk maken wat u bij de ontwikkeling van uw kind kunt verwachten. Voor advies kunt u ook altijd contact opnemen met de JGZ verpleegkundige. Zij is ook altijd bereid u in contact te brengen met andere ouders van couveusekinderen. Uw kind zal door de ervaring die het heeft opgedaan in het ziekenhuis, vaak meer willen dan hij of zij lichamelijk aankan. Dit kan een reden zijn voor de onrust. U helpt uw baby in deze periode door met hem of haar te spelen en aandacht te geven. U leert bovendien de behoeften van uw kind kennen door hem of haar goed in de gaten te houden en op de reacties te letten. Probeer niets te forceren, maar geef uzelf en de baby juist de tijd om aan elkaar te wennen. Geduld en vertrouwen zijn hiervoor belangrijke factoren. Samen moet u het juiste ritme vinden.",237,54,Uw baby thuis,Gedrag en groei van de baby,"Uw kind heeft al wat meer ‘levenservaring’ dan een baby die ‘op tijd’ is geboren. U moet echter bij het volgen van de groei en ontwikkeling het aantal weken dat uw kind te vroeg is geboren aftrekken van de leeftijd na de geboorte. Is uw kind bijvoorbeeld zestien weken oud, maar negen weken te vroeg geboren, dan is de ontwikkelingsleeftijd zestien min negen, dus zeven weken. Daarom mag u uw kind niet vergelijken met een ‘op tijd’ geboren baby van dezelfde leeftijd. Ouders vragen al snel aan elkaar hoe oud de baby is, om vervolgens onderling te vergelijken. Laat u niet ontmoedigen als uw kind in de ogen van anderen ‘achter’ is. Ieder kind ontwikkelt zich in zijn eigen tempo. Een te vroeg geboren baby haalt de ‘achterstand’ over het algemeen snel in. U zult zich al snel niet meer kunnen voorstellen dat uw kind zo klein was bij de geboorte. Twijfelt u of maakt u zich zorgen, neem dan contact op met de arts van het consultatiebureau of de kinderarts. Zij kunnen u duidelijk maken wat u bij de ontwikkeling van uw kind kunt verwachten. Voor advies kunt u ook altijd contact opnemen met de JGZ verpleegkundige. Zij is ook altijd bereid u in contact te brengen met andere ouders van couveusekinderen. Uw kind zal door de ervaring die het heeft opgedaan in het ziekenhuis, vaak meer willen dan hij of zij lichamelijk aankan. Dit kan een reden zijn voor de onrust. U helpt uw baby in deze periode door met hem of haar te spelen en aandacht te geven. U leert bovendien de behoeften van uw kind kennen door hem of haar goed in de gaten te houden en op de reacties te letten. Probeer niets te forceren, maar geef uzelf en de baby juist de tijd om aan elkaar te wennen. Geduld en vertrouwen zijn hiervoor belangrijke factoren. Samen moet u het juiste ritme vinden.",train_fold_one,,,"Het verbod om te vroeg geboren baby's te vergelijken met 'op tijd' geboren baby's van dezelfde leeftijd, is er omdat te vroeg geboren baby's een achterstand kunnen hebben in hun groei en ontwikkeling. Ze hebben meer tijd nodig om bepaalde mijlpalen te bereiken. Het vergelijken van deze baby's kan leiden tot onnodige zorgen en stress voor de ouders. Het is belangrijk om te begrijpen dat elk kind zich in zijn eigen tempo ontwikkelt en dat te vroeg geboren baby's over het algemeen snel hun achterstand kunnen inhalen. Het is raadzaam om contact op te nemen met de arts of verpleegkundige voor meer informatie en advies over de ontwikkeling van uw kind.",TRUE,This document does not answer the question
96,Hoe kan ik contact opnemen met de diëtist?,U kunt telefonisch of per e-mail contact opnemen met de diëtist van de Afdeling diëtetiek ZGT.,Gemalen voeding --- Vragen --- Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,36,55,Gemalen voeding,Vragen,Heeft u na het lezen van deze folder nog vragen? Neem dan gerust contact op met de diëtist. Zij wil uw vragen graag beantwoorden. Afdeling diëtetiek ZGT Telefoonnummer: 088 708 32 20 Bereikbaar op werkdagen van 8.30 – 12.30 uur. E-mail: dietisten@zgt.nl,train_fold_one,,,,,Neem contact op met de diëtist op de afdeling diëtetiek van ZGT. Het telefoonnummer is 088 708 32 20 en ze zijn bereikbaar op werkdagen van 8.30 - 12.30 uur. Je kunt ook een e-mail sturen naar dietisten@zgt.nl. Daarnaast kun je ook je dossier op MijnZGT bekijken voor meer informatie en mogelijkheden om een afspraak te maken.
97,Kan ik ook vragenlijsten invullen voor mijn kind via MijnZGT?,"Ja, u kunt vragenlijsten invullen voor uw kind via MijnZGT. Deze worden klaargezet door het ziekenhuis.","Actigrafie bij kinderen --- Check het dossier van uw kind op MijnZGT --- MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van het medisch dossier van uw kind inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij hebben klaargezet. Kijk voor meer informatie de folder ‘MijnZGT machtiging ouders’.",70,58,Actigrafie bij kinderen,Check het dossier van uw kind op MijnZGT,"MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van het medisch dossier van uw kind inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij hebben klaargezet. Kijk voor meer informatie de folder ‘MijnZGT machtiging ouders’.",train_fold_one,,,"Ja, het is mogelijk om als ouder namens uw kind vragenlijsten in te vullen via MijnZGT. U kunt via het patiëntenportaal van ZGT delen van het medisch dossier inzien, persoonlijke gegevens checken en vragenlijsten invullen die voor uw kind zijn klaargezet. Voor meer informatie kunt u kijken op zgt.nl/mijnzgt.",TRUE,This document does not answer the question.
98,"Wordt de VOD ook besproken tijdens de artsenvisite en zo ja, hoe vaak?","Ja, de VOD wordt dagelijks besproken tijdens de artsenvisite en eventueel aangepast.","Afdeling 3 zuid (ZGT Almelo) --- VOD (voorlopige ontslagdatum) --- Op de afdeling longgeneeskunde werken we met een VOD. Dit houdt in dat de longarts/arts-assistent al direct bij opname een ontslagdatum vaststelt. Dit is een streefdatum waar we met u naar toe werken. Dagelijks wordt in de artsenvisite de VOD geëvalueerd en zo nodig aangepast, als blijkt dat ontslag nog niet haalbaar is.",83,59,Afdeling 3 zuid (ZGT Almelo),VOD (voorlopige ontslagdatum),"Op de afdeling longgeneeskunde werken we met een VOD. Dit houdt in dat de longarts/arts-assistent al direct bij opname een ontslagdatum vaststelt. Dit is een streefdatum waar we met u naar toe werken. Dagelijks wordt in de artsenvisite de VOD geëvalueerd en zo nodig aangepast, als blijkt dat ontslag nog niet haalbaar is.",train_fold_one,,TRUE,This document does not answer the question,TRUE,This document does not answer the question.
99,Wat is congenitale heupdysplasie?,Congenitale heupdysplasie is een aangeboren afwijking waarbij de heupkop niet goed in de heupkom past.,Congenitale heupdysplasie --- Informatie --- Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,41,61,Congenitale heupdysplasie,Informatie,Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx,train_fold_one,,,,,
100,Wat is de kans dat spontaan weeën ontstaan binnen 24 uur na het breken van de vliezen?,De kans is groot dat u spontaan weeën krijgt binnen 24 uur na het breken van de vliezen.,"(Langdurig) gebroken vliezen --- (Langdurig) gebroken vliezen --- Als de vliezen gebroken zijn, bij een zwangerschapsduur van 37 tot 42 weken, kan het zijn dat de weeën nog even op zich laten wachten en de bevalling dus nog niet begint. De kans is wel groot dat u spontaan weeën krijgt binnen 24 uur. In deze folder leest u wat u kunt verwachten en wat u kunt doen wanneer uw vliezen gebroken zijn.",72,7,(Langdurig) gebroken vliezen,(Langdurig) gebroken vliezen,"Als de vliezen gebroken zijn, bij een zwangerschapsduur van 37 tot 42 weken, kan het zijn dat de weeën nog even op zich laten wachten en de bevalling dus nog niet begint. De kans is wel groot dat u spontaan weeën krijgt binnen 24 uur. In deze folder leest u wat u kunt verwachten en wat u kunt doen wanneer uw vliezen gebroken zijn.",train_fold_one,,,,TRUE,This document does not answer the question
101,Wat is het advies voor vrouwen die zwanger willen worden en bisfosfonaten gebruiken?,"Het wordt afgeraden om bisfosfonaten te gebruiken als u zwanger bent, een zwangerschapswens heeft of borstvoeding geeft. Neem minstens drie maanden voordat u zwanger wilt worden contact op met uw reumatoloog of reumaverpleegkundige als u een bisfosfonaat gebruikt en een zwangerschapswens heeft.","Bisfosfonaten --- Vruchtbaarheid, zwangerschap en borstvoeding --- Omdat er onvoldoende gegevens bekend zijn over het gebruik van bisfosfonaten tijdens de zwangerschap of borstvoeding, wordt geadviseerd deze middelen niet te gebruiken als u zwanger bent, bij zwangerschapswens of tijdens borstvoeding. Neem tijdig contact op (minimaal drie maanden voordat u zwanger wilt worden) met uw reumatoloog of reumaverpleegkundige wanneer u een zwangerschapswens heeft en een bisfosfonaat gebruikt. Indien u tijdens het gebruik van een bisfosfonaat zwanger wordt neem dan contact op met uw reumatoloog of huisarts.",177,7,Bisfosfonaten,"Vruchtbaarheid, zwangerschap en borstvoeding","Omdat er onvoldoende gegevens bekend zijn over het gebruik van bisfosfonaten tijdens de zwangerschap of borstvoeding, wordt geadviseerd deze middelen niet te gebruiken als u zwanger bent, bij zwangerschapswens of tijdens borstvoeding. Neem tijdig contact op (minimaal drie maanden voordat u zwanger wilt worden) met uw reumatoloog of reumaverpleegkundige wanneer u een zwangerschapswens heeft en een bisfosfonaat gebruikt. Indien u tijdens het gebruik van een bisfosfonaat zwanger wordt neem dan contact op met uw reumatoloog of huisarts.",train_fold_one,,,"Onvoldoende gegevens zijn bekend over het gebruik van bisfosfonaten tijdens de zwangerschap of borstvoeding. Daarom wordt geadviseerd om deze middelen niet te gebruiken als u zwanger bent, bij zwangerschapswens of tijdens borstvoeding. Het wordt aanbevolen om minimaal drie maanden voordat u zwanger wilt worden contact op te nemen met uw reumatoloog of reumaverpleegkundige als u een zwangerschapswens heeft en een bisfosfonaat gebruikt. Als u tijdens het gebruik van een bisfosfonaat zwanger wordt, neem dan contact op met uw reumatoloog of huisarts. ",TRUE,This document does not answer the question
102,Hoe wordt de groei van de baby bepaald?,De groei van de baby wordt bepaald door het eigen groeivermogen en door de aanvoer van zuurstof en voedingstoffen vanuit de placenta.,"Foetale groeirestrictie --- Oorzaken --- Verminderde placentafunctie De groei van de baby wordt bepaald door het eigen groeivermogen en door de aanvoer van zuurstof en voedingstoffen vanuit de placenta. Bij het grootste deel van de zwangere vrouwen met groeivertraging is de oorzaak een aanvoerstoornis door een verminderde placentafunctie. Doordat de placenta niet goed functioneert, krijgt de baby steeds minder aanvoer van zuurstof en voedingsstoffen. Met name in de tweede helft van de zwangerschap kan het aanbod vanuit de placenta te weinig zijn. Dit proces verbetert niet meer tijdens de zwangerschap. Kenmerkend voor de baby’s met groeivertraging door verminderde placentafunctie is de asymmetrische groeivertraging. Dat wil zeggen dat bijvoorbeeld de baby een te kleine buikomvang heeft in verhouding tot de rest van het lichaam. Dit is het geval bij 70 tot 80 procent van de baby’s met groeivertraging. Andere oorzaken Ook leeftijd, bepaalde ziektebeelden, medicatiegebruik, tijd tussen zwangerschappen, ras, voedingstoestand en leefgewoontes (roken, drugs, alcohol) van een vrouw spelen een rol in het ontstaan van FGR. Verder kunnen sommige infecties bij de baby in de baarmoeder groeivertraging veroorzaken, zoals het cytomegalievirus (CMV). Aangeboren afwijkingen kunnen ook een oorzaak zijn. Baby’s met aangeboren afwijkingen zijn in het hele lichaam vertraagd in de groei (symmetrische FGR). Dit is bij één tot twee procent van de baby’s de oorzaak voor de groeiachterstand. De gynaecoloog zal dan een vruchtwaterpunctie bespreken om chromosomale afwijkingen bij de baby uit te sluiten. Het is goed om te weten dat in 60% van de gevallen van groeivertraging, er geen duidelijke oorzaak gevonden wordt. Sommige mensen krijgen nu eenmaal kleinere kinderen, dit is genetisch bepaald.",178,7,Foetale groeirestrictie,Oorzaken,"Verminderde placentafunctie De groei van de baby wordt bepaald door het eigen groeivermogen en door de aanvoer van zuurstof en voedingstoffen vanuit de placenta. Bij het grootste deel van de zwangere vrouwen met groeivertraging is de oorzaak een aanvoerstoornis door een verminderde placentafunctie. Doordat de placenta niet goed functioneert, krijgt de baby steeds minder aanvoer van zuurstof en voedingsstoffen. Met name in de tweede helft van de zwangerschap kan het aanbod vanuit de placenta te weinig zijn. Dit proces verbetert niet meer tijdens de zwangerschap. Kenmerkend voor de baby’s met groeivertraging door verminderde placentafunctie is de asymmetrische groeivertraging. Dat wil zeggen dat bijvoorbeeld de baby een te kleine buikomvang heeft in verhouding tot de rest van het lichaam. Dit is het geval bij 70 tot 80 procent van de baby’s met groeivertraging. Andere oorzaken Ook leeftijd, bepaalde ziektebeelden, medicatiegebruik, tijd tussen zwangerschappen, ras, voedingstoestand en leefgewoontes (roken, drugs, alcohol) van een vrouw spelen een rol in het ontstaan van FGR. Verder kunnen sommige infecties bij de baby in de baarmoeder groeivertraging veroorzaken, zoals het cytomegalievirus (CMV). Aangeboren afwijkingen kunnen ook een oorzaak zijn. Baby’s met aangeboren afwijkingen zijn in het hele lichaam vertraagd in de groei (symmetrische FGR). Dit is bij één tot twee procent van de baby’s de oorzaak voor de groeiachterstand. De gynaecoloog zal dan een vruchtwaterpunctie bespreken om chromosomale afwijkingen bij de baby uit te sluiten. Het is goed om te weten dat in 60% van de gevallen van groeivertraging, er geen duidelijke oorzaak gevonden wordt. Sommige mensen krijgen nu eenmaal kleinere kinderen, dit is genetisch bepaald.",train_fold_one,,,,TRUE,This document does not answer the question.
103,Kan een opname op de intensive care nodig zijn bij het HELLP-syndroom?,"Ja, in sommige gevallen kan een opname op de afdeling intensive care nodig zijn bij het HELLP-syndroom.","Pre-eclampsie en HELLP syndroom --- Het HELLP–syndroom bij een bijna voldragen zwangerschap --- Als het HELLP-syndroom bij een bijna voldragen zwangerschap optreedt, besluit de arts om uw baby zo spoedig mogelijk geboren te laten worden. Afhankelijk van de toestand van u en/of uw baby bepaalt de arts of de bevalling wordt ingeleid of dat u een keizersnede ondergaat. Zowel vroeg als laat in de zwangerschap geldt bij het HELLP-syndroom dat u tot ongeveer 72 uur na de bevalling goed in de gaten gehouden wordt. Het kan zijn dat er een mogelijke verergering van de situatie en/of complicaties ontstaan. In sommige gevallen is dan een opname op de afdeling intensive care nodig.",174,7,Pre-eclampsie en HELLP syndroom,Het HELLP–syndroom bij een bijna voldragen zwangerschap,"Als het HELLP-syndroom bij een bijna voldragen zwangerschap optreedt, besluit de arts om uw baby zo spoedig mogelijk geboren te laten worden. Afhankelijk van de toestand van u en/of uw baby bepaalt de arts of de bevalling wordt ingeleid of dat u een keizersnede ondergaat. Zowel vroeg als laat in de zwangerschap geldt bij het HELLP-syndroom dat u tot ongeveer 72 uur na de bevalling goed in de gaten gehouden wordt. Het kan zijn dat er een mogelijke verergering van de situatie en/of complicaties ontstaan. In sommige gevallen is dan een opname op de afdeling intensive care nodig.",train_fold_one,,,"Het HELLP-syndroom kan leiden tot een opname op de intensive care. De mogelijke gevolgen van het HELLP-syndroom zijn onder andere vroeggeboorte, verminderde placentafunctie, groeiachterstand bij de baby, en complicaties bij zowel de moeder als de baby. Bij een vroeggeboorte kunnen de longen, het maagdarmkanaal en het zenuwstelsel van de baby nog niet volledig ontwikkeld zijn. Als besloten wordt dat de zwangerschap op korte termijn beëindigd moet worden, kunnen injecties worden toegediend om de longrijping van de baby te bevorderen. In sommige gevallen kan een opname op de intensive care nodig zijn. ",TRUE,This document does not answer the question
104,Wat is gynaecomastie?,Gynaecomastie is de medische term voor borstvorming bij mannen.,"Borstvorming bij mannen _ gynaecomastie, behandeld door de chirurg --- Borstvorming bij mannen --- Gynaecomastie Deze folder geeft u een globaal overzicht van de mogelijke oorzaken en klachten van borstvorming bij de man en de meest gebruikelijke behandelingsmogelijkheden. Het is goed u te realiseren dat bij het vaststellen van een aandoening de situatie voor iedereen weer anders kan zijn.",91,8,"Borstvorming bij mannen _ gynaecomastie, behandeld door de chirurg",Borstvorming bij mannen,Gynaecomastie Deze folder geeft u een globaal overzicht van de mogelijke oorzaken en klachten van borstvorming bij de man en de meest gebruikelijke behandelingsmogelijkheden. Het is goed u te realiseren dat bij het vaststellen van een aandoening de situatie voor iedereen weer anders kan zijn.,train_fold_one,,,"Gynaecomastie is de term die wordt gebruikt om borstvorming bij mannen te beschrijven. Er zijn verschillende mogelijke oorzaken voor gynaecomastie, waaronder fysiologische (normale) borstvorming, borstvorming door vetafzetting, bijwerkingen van bepaalde medicijnen, stofwisselingsveranderingen bij lever-, nier- of schildklierziekte, veranderingen in de hormoonproductie, hormoonproducerende gezwellen van zaadbal of luchtwegen, en borstkanker bij mannen. De behandeling van gynaecomastie is afhankelijk van de oorzaak. Bij fysiologische gynaecomastie is meestal geen behandeling nodig en verdwijnen de zwellingen vanzelf. Bij niet-fysiologische gynaecomastie kan aanvullend onderzoek plaatsvinden, zoals bloedonderzoek, röntgenfoto's, een echo en een punctie om weefsel te verkrijgen voor microscopisch onderzoek.",TRUE,This document does not answer the question
106,Wat moet ik doen als er na 5 minuten nog niets is?,"Als er na ongeveer 5 minuten nog niets is, ga dan niet hard persen maar wacht op een volgende gelegenheid. Door dwingen neemt de reflex juist af.","Adviezen toiletgedrag ontlasten --- Adviezen als de ontlasting niet goedkomt --- - Adem een aantal keren rustig in en uit, en beweeg uw buik hierbij goed mee (buikademhaling). 
- Daarna probeert u nogmaals op de juiste manier te persen. 
- Als dan de ontlasting nog niet komt, kantelt u 10 keer het bekken voor- en achterover in het ritme van de ademhaling: o tijdens de uitademing het bekken achterover kantelen en de buik intrekken o tijdens de inademing het bekken voorover kantelen en de buik loslaten. Doe dit in een rustig tempo: door de wisselende druk ontstaat als het ware een massage van de darmen 
- Komt de ontlasting dan niet, terwijl u toch behoorlijke aandrang heeft, probeer dan ongeveer 10 minuten intensief te bewegen. 
- Ga daarna weer naar het toilet, ga ontspannen zitten en probeer of de ontlasting wil komen met de hierboven beschreven tips. 
- Als er na ongeveer 5 minuten nog niets is, ga dan niet hard persen, maar wacht een volgende gelegenheid af. Door dwingen neemt de reflex juist af! Neem tussendoor wat lichaams-beweging.",2,10,Adviezen toiletgedrag ontlasten,Adviezen als de ontlasting niet goedkomt,"- Adem een aantal keren rustig in en uit, en beweeg uw buik hierbij goed mee (buikademhaling). 
- Daarna probeert u nogmaals op de juiste manier te persen. 
- Als dan de ontlasting nog niet komt, kantelt u 10 keer het bekken voor- en achterover in het ritme van de ademhaling: o tijdens de uitademing het bekken achterover kantelen en de buik intrekken o tijdens de inademing het bekken voorover kantelen en de buik loslaten. Doe dit in een rustig tempo: door de wisselende druk ontstaat als het ware een massage van de darmen 
- Komt de ontlasting dan niet, terwijl u toch behoorlijke aandrang heeft, probeer dan ongeveer 10 minuten intensief te bewegen. 
- Ga daarna weer naar het toilet, ga ontspannen zitten en probeer of de ontlasting wil komen met de hierboven beschreven tips. 
- Als er na ongeveer 5 minuten nog niets is, ga dan niet hard persen, maar wacht een volgende gelegenheid af. Door dwingen neemt de reflex juist af! Neem tussendoor wat lichaams-beweging.",train_fold_two,,TRUE,This document does not answer the question,,
107,Wat is het doel van een fietsinspanningsonderzoek met arteriële bloedgassen?,Het doel van een fietsinspanningsonderzoek met arteriële bloedgassen is om het maximale inspanningsvermogen van een persoon te testen met behulp van een fietstest.,Fietsinspanningsonderzoek met arteriele bloedgassen --- Doel --- Bij dit onderzoek wordt uw maximale inspanningsvermogen getest door middel van een fietstest.,396,10,Fietsinspanningsonderzoek met arteriele bloedgassen,Doel,Bij dit onderzoek wordt uw maximale inspanningsvermogen getest door middel van een fietstest.,train_fold_two,,TRUE,This document does not answer the question,,"A fietsinspanningsonderzoek with arteriële bloedgassen is a test that measures your maximum exercise capacity by using a bicycle test. During the test, you will be asked to cycle on a bike while wearing a mask connected to equipment that measures various parameters such as heart rate, blood pressure, and oxygen intake. The test starts with light exercise and gradually increases in intensity. The goal is to cycle for as long as possible until you reach your maximum effort. After reaching maximum effort, you will continue to cycle at a low intensity to measure the recovery period. Throughout the test, a heart recording, blood pressure measurement, and arterial blood samples will be taken to measure oxygen levels during exercise. This test can help diagnose certain conditions by providing information about your cardiovascular and respiratory function during exercise."
108,Wat is het doel van het afbinden of dicht nieten van bullae tijdens een thoracoscopische operatie?,Het doel van het afbinden of dicht nieten van bullae tijdens een thoracoscopische operatie is om bloedingen te voorkomen en het longweefsel te beschermen.,"Kijkoperatie in de borstholte --- Mogelijke operaties: --- De thoracoscopische operatie bij spontane pneumothorax De zwakke plekken in de long zijn meestal te zien als blazen (bullae) op het longoppervlak. Deze bullae kunnen heel klein zijn, maar ook groot, tot zelfs bijna zo groot als de hele long. De bullae, vooral die lucht lekken, worden afgebonden of dicht geniet. Dit laatste gebeurt met een speciaal nietapparaat. Hierna wordt het longvlies dat aan de borstholte vastzit, ruw gemaakt of gedeeltelijk verwijderd. Bijna altijd wordt daarna ook nog talk achtergelaten in de borstholte. Daardoor kan de long na de operatie met de borstwand vergroeien, zodat later geen kans meer bestaat op luchtlekkage tussen de long en de borstholte. De thoracoscopische verwijdering van kleine goedaardige gezwellen Daarbij wordt het longweefsel rondom het gezwel met het boven genoemde nietapparaat afgeniet, waarna het weefsel kan worden verwijderd. De diagnostische thoracoscopie en 'open' longbiopsie Zoals bij de verwijdering van een gezwel, kan met een nietapparaat een stuk longweefsel worden verwijderd voor microscopisch onderzoek. Ook stukjes longvlies of lymfklier kunnen worden uitgenomen voor onderzoek. De thoracoscopische sympathectomie Hierbij wordt in het bovenste gedeelte van de borstholte de zenuwbaan opgezocht, die betrokken is bij de overmatige zweetproductie of met de vaatkramp te maken heeft. Er wordt een stukje van enkele centimeters verwijderd (afgeklipt of verschroeid) met het doel de symptomen te doen verdwijnen of verminderen. Het is goed er rekening mee te houden, dat wanneer de thoracoscopische ingreep technisch niet goed uitvoerbaar blijkt, er reden kan zijn om de thoracoscopische procedure te staken en aansluitend over te gaan op een 'normale' operatie voor uw probleem. Aan het eind van een thoracoscopische ingreep worden er soms een of twee slangetjes (drains) in de borstkas gebracht. Aan dit slangetje(s) wordt een afzuigsysteem bevestigd. Dit afzuigsysteem zorgt ervoor dat de long zich zo goed mogelijk kan ontplooien, waarbij lucht, wondvocht en bloed worden afgezogen. De luchtlekkage stopt meestal binnen twee tot vijf dagen. Wanneer de controle röntgenfoto goed is kan de drain worden verwijderd. Bij thoracoscopische ingrepen, waarbij nogal wat pijn na de operatie te verwachten is, wordt vaak een zeer dun slangetje in de rug (epiduraal katheter) aangebracht. Hier doorheen kunnen extra pijnstillende middelen worden gegeven. Na twee of drie dagen wordt dit slangetje verwijderd en krijgt u eenvoudige pijnstillers.",398,10,Kijkoperatie in de borstholte,Mogelijke operaties:,"De thoracoscopische operatie bij spontane pneumothorax De zwakke plekken in de long zijn meestal te zien als blazen (bullae) op het longoppervlak. Deze bullae kunnen heel klein zijn, maar ook groot, tot zelfs bijna zo groot als de hele long. De bullae, vooral die lucht lekken, worden afgebonden of dicht geniet. Dit laatste gebeurt met een speciaal nietapparaat. Hierna wordt het longvlies dat aan de borstholte vastzit, ruw gemaakt of gedeeltelijk verwijderd. Bijna altijd wordt daarna ook nog talk achtergelaten in de borstholte. Daardoor kan de long na de operatie met de borstwand vergroeien, zodat later geen kans meer bestaat op luchtlekkage tussen de long en de borstholte. De thoracoscopische verwijdering van kleine goedaardige gezwellen Daarbij wordt het longweefsel rondom het gezwel met het boven genoemde nietapparaat afgeniet, waarna het weefsel kan worden verwijderd. De diagnostische thoracoscopie en 'open' longbiopsie Zoals bij de verwijdering van een gezwel, kan met een nietapparaat een stuk longweefsel worden verwijderd voor microscopisch onderzoek. Ook stukjes longvlies of lymfklier kunnen worden uitgenomen voor onderzoek. De thoracoscopische sympathectomie Hierbij wordt in het bovenste gedeelte van de borstholte de zenuwbaan opgezocht, die betrokken is bij de overmatige zweetproductie of met de vaatkramp te maken heeft. Er wordt een stukje van enkele centimeters verwijderd (afgeklipt of verschroeid) met het doel de symptomen te doen verdwijnen of verminderen. Het is goed er rekening mee te houden, dat wanneer de thoracoscopische ingreep technisch niet goed uitvoerbaar blijkt, er reden kan zijn om de thoracoscopische procedure te staken en aansluitend over te gaan op een 'normale' operatie voor uw probleem. Aan het eind van een thoracoscopische ingreep worden er soms een of twee slangetjes (drains) in de borstkas gebracht. Aan dit slangetje(s) wordt een afzuigsysteem bevestigd. Dit afzuigsysteem zorgt ervoor dat de long zich zo goed mogelijk kan ontplooien, waarbij lucht, wondvocht en bloed worden afgezogen. De luchtlekkage stopt meestal binnen twee tot vijf dagen. Wanneer de controle röntgenfoto goed is kan de drain worden verwijderd. Bij thoracoscopische ingrepen, waarbij nogal wat pijn na de operatie te verwachten is, wordt vaak een zeer dun slangetje in de rug (epiduraal katheter) aangebracht. Hier doorheen kunnen extra pijnstillende middelen worden gegeven. Na twee of drie dagen wordt dit slangetje verwijderd en krijgt u eenvoudige pijnstillers.",train_fold_two,,TRUE,This document does not answer the question,,
109,Waar wordt u gevraagd om in te ademen tijdens de meting?,U wordt gevraagd om in te ademen in het meetapparaat na een volledige uitademing.,NO (stikstofmonoxide) meting --- De meting --- De longfunctieanalist vraagt u om in het meetapparaat na een volledige uitademing zo diep mogelijk in te ademen en met een constante snelheid gedurende 10 seconden weer uit te ademen.,377,10,NO (stikstofmonoxide) meting,De meting,De longfunctieanalist vraagt u om in het meetapparaat na een volledige uitademing zo diep mogelijk in te ademen en met een constante snelheid gedurende 10 seconden weer uit te ademen.,train_fold_two,,TRUE,This document does not answer the question,,The longfunctieanalist asks you to inhale after a full exhalation in the measuring device.
110,Wie heeft u verwezen voor een NO-meting?,Uw medisch specialist heeft u verwezen voor een NO-meting.,NO (stikstofmonoxide) meting --- NO-meting --- Uw medisch specialist heeft u verwezen voor een NO-meting. Tijdens dit onderzoek wordt de hoeveelheid stikstofmonoxide (NO) in uw uitgeademde lucht gemeten.,408,10,NO (stikstofmonoxide) meting,NO-meting,Uw medisch specialist heeft u verwezen voor een NO-meting. Tijdens dit onderzoek wordt de hoeveelheid stikstofmonoxide (NO) in uw uitgeademde lucht gemeten.,train_fold_two,,TRUE,This document does not answer the question.,TRUE,This document does not answer the question.
